L2_CODE,Education and Technology_3_sum_pop,Education and Technology_4_sum_pop,Education and Technology_7_sum_pop,Health_3_sum_pop,Health_4_sum_pop,Health_7_sum_pop,Housing_3_sum_pop,Housing_4_sum_pop,Housing_7_sum_pop,Industrial and Economic Affairs_3_sum_pop,Industrial and Economic Affairs_4_sum_pop,Industrial and Economic Affairs_7_sum_pop,Local Government and Rural Development_3_sum_pop,Local Government and Rural Development_4_sum_pop,Local Government and Rural Development_7_sum_pop,Public Order and Safety_3_sum_pop,Public Order and Safety_4_sum_pop,Public Order and Safety_7_sum_pop,Public Services_3_sum_pop,Public Services_4_sum_pop,Public Services_7_sum_pop,Social Security and Welfare_3_sum_pop,Social Security and Welfare_4_sum_pop,Social Security and Welfare_7_sum_pop
1004,892.1274908,530.7605462,9.917301061,588.0243975,64.09849429,0.451544018,47.96046429,14.08807729,1.257713788,86.4604894,43.69061023,0.30790565,802.7895662,2860.67905,0.564226471,1182.011368,199.0221069,6.703480386,297.3851386,78.41546741,5.244203059,117.1153284,471.8478433,0.302557413
1006,1115.280475,749.3909277,10.50839199,1699.682558,546.0328069,4.506873008,124.024703,63.25132306,1.284818627,251.0207207,216.323098,1.290779278,454.7086553,2201.339432,0.122103975,2779.496197,368.9418398,5.287280502,376.7956492,168.8270138,5.006404576,163.0065547,537.2892278,1.779905827
1009,558.1958061,458.1630456,2.141055294,386.4436175,60.62790613,1.645983209,35.65977791,16.45047841,0.522508016,60.52407272,20.68581805,,643.9266982,3554.55809,0.618951372,877.7091972,115.0296333,0.746847451,167.2786075,38.04069882,2.449575829,92.89373155,187.4273005,0.459683288
1042,1192.408676,870.254485,14.08405156,844.4907208,125.5539035,1.401674806,70.19385842,25.04139205,0.413495883,192.2876004,17.53261222,1.4127776,686.274438,2966.823308,10.61715699,1341.64757,479.985697,1.830055089,342.9074572,174.3120961,3.651442737,176.870638,350.7783171,1.268864817
1078,777.7123048,672.5412004,3.933222427,607.346957,94.92531096,2.514230792,73.00505584,37.59879009,0.203459049,142.2586389,23.51552952,,512.0454835,2132.982799,0.231365489,1213.211463,178.1583289,2.148739816,223.2716716,89.36837564,1.225560404,105.4638124,466.6360174,0.261867149
1079,766.6190681,706.2537827,0.819877913,477.8724944,64.81909915,0.118272971,39.60255686,13.94717605,,146.0638448,28.3094673,,546.1610031,2894.686303,0.188673549,1124.459598,153.3516204,2.182526232,268.256222,53.4427859,2.525284985,83.67787578,186.8359486,
2003,1374.101767,1173.926922,6.259006041,1302.210347,129.5094056,6.390977322,110.1455506,27.79083724,,445.5691394,86.23926516,,969.3831481,6401.737331,,8705.854633,203.1192841,5.716282408,920.907149,244.288899,9.225463296,413.8825827,343.0819042,1.141549036
2012,480.8477312,289.9789823,0.748710366,377.653325,65.32075232,2.449870835,28.612114,13.66444829,,67.62811126,20.55163282,,269.8493873,2091.85606,,645.1191972,126.7517439,1.032927414,136.8990712,48.57416442,0.159924449,69.40132043,361.780885,0.131287165
2013,828.2802279,644.2989006,1.554687451,501.9352944,85.75923841,0.34923497,36.36306181,25.01454803,0.259637753,66.42775236,39.07727639,0.086545918,336.681311,1359.444315,,682.5902403,108.9032861,0.773911946,165.6147953,69.05716366,0.511087925,82.860953,326.412437,0.239665619
2015,499.1668905,455.8468753,1.338072923,688.2918151,220.7492487,0.210673105,95.05642406,479.0038169,0.232810195,212.7133513,73.16513472,1.158209953,145.0125612,1855.184063,0.04412599,2218.004514,128.9937446,2.276692119,375.5022507,163.8366387,1.549964845,928.822553,129.7784118,0.216122121
2019,422.0726961,287.0016586,1.822630022,505.1204335,135.3039747,1.124309798,32.54581357,10.58000325,,96.67863526,23.38317036,,248.1565166,1437.530515,0.090977017,1106.354139,108.0229103,1.186988749,136.2262563,245.2222078,0.171534485,44.16383561,125.9303149,0.041550936
2022,379.810024,229.4952405,0.928481483,348.1841796,400.0957109,1.718261059,24.91139816,11.67096511,0.198168265,73.07567948,6.545863667,,246.6726572,704.4709046,0.283278994,1249.571963,49.39464249,0.592334682,167.586218,33.29502108,1.663584826,48.63331183,95.23481919,0.18440658
