L2_CODE,Education and Technology_3_sum,Education and Technology_4_sum,Education and Technology_7_sum,Health_3_sum,Health_4_sum,Health_7_sum,Housing_3_sum,Housing_4_sum,Housing_7_sum,Industrial and Economic Affairs_3_sum,Industrial and Economic Affairs_4_sum,Industrial and Economic Affairs_7_sum,Local Government and Rural Development_3_sum,Local Government and Rural Development_4_sum,Local Government and Rural Development_7_sum,Public Order and Safety_3_sum,Public Order and Safety_4_sum,Public Order and Safety_7_sum,Public Services_3_sum,Public Services_4_sum,Public Services_7_sum,Social Security and Welfare_3_sum,Social Security and Welfare_4_sum,Social Security and Welfare_7_sum
2030,1235287300,543176749,6531116.453,794474031.1,157685322.3,2910926.139,60213581.27,52572224.67,223880.597,200631904.4,91593517.01,,507584940.6,1762477758,432213.9303,2227932340,340176668.2,1089733.624,336459829,190912743.6,2770901.103,90766551.02,306309805.9,223880.597
2046,686952093.2,339283540.9,3692136.274,486217959.6,48804924.99,3117355.929,47770893.25,13111964.36,608495.9816,296016340.4,83009430.65,735443.3761,331984337.2,1864207296,608495.9816,3780392986,69993750.84,10526440.31,378603154.2,79673253.9,416188.2893,357840625.1,145936980.1,950186.9658
2051,1869599550,1131559014,5433342.104,996376052.6,173703637.6,3918137.677,52588848.33,48809161.32,929487.1795,140396155,77261383.71,580730.1633,551293964.8,1834873223,1011562.779,1251272653,317801913.8,3730918.724,295210364.9,122647011.5,1650641.026,134304857.7,1819671426,
2075,1592165908,1400059377,1266627.599,1380049888,461742455.8,,95620580.33,82933402.96,954861.1111,261843870.8,91940987.39,,1080038217,3471221252,257606.1998,2242382962,599898996.7,4618061.535,390148965.5,220460327.6,142895.2991,178339886.6,585887686.4,848880.597
2084,1082157054,500243378.5,1834345.899,821254440.6,108372473.5,5478492.314,59355587.97,16191148.34,2231969.161,393161540.8,89435079.67,3271742.25,361069059.8,7523914847,280356570.5,4482888814,116783106.6,4063984.963,473919364.2,107759169.5,908219.3201,261324618.4,259139065.4,1536069.652
3026,1340852829,814981578.5,2969128.715,846791953.5,153092429.8,749507.67,47185841.35,28647689.5,116853.6325,11454555.61,2971209.099,416666.6667,265230588.1,1931941600,273631.8408,7947914108,161748706.9,5328709.019,1415350916,2218670970,2417390.212,214503771.7,168020354.6,2622624.059
3029,1841914537,1268732146,8917964.265,2454104944,1125678780,22345147.26,81892729.82,52385072,,352317608.3,124888269.3,2116580.559,956025169.8,3965151387,1635093.762,2011080657,368331981.7,2382618.159,447817519,261965386.1,1559787.202,243175377.5,1070341950,522029.2767
3033,1655945413,840009712.5,7415153.798,833331079.5,128793373.3,344192.499,97661268.4,61033360.56,576923.0769,250458544.6,79495288.76,282840.6047,908639729.8,3295596183,1159732.587,3713694290,317800485,3296793.277,508998813.6,195173108,1001841.753,425063813.9,772220025.6,2175181.783
3035,1189662959,1693494853,2723172.997,1170401411,977174453,,84697579.39,14949110.08,192307.6923,195863853,58316621.64,,708078079.3,5070292723,,1459046669,368916431,1320464.983,318610194.3,60859279.96,5325765.005,136070184.4,638467868.3,
3039,1540032568,1164062184,4871663.318,1174313193,150170794.8,924284.8259,56746484.9,22185959.55,993589.7436,175653986.8,34092015.36,,766355142.9,3152764666,250000,2530307796,234645263.5,7705391.313,378753475.2,122506642.4,1247518.418,289247466.1,2542799555,1155281.286
3048,1121278534,1166191186,13412195.83,913456408.1,602303811.5,998911.6915,79049499.26,39961190.78,328525.641,183034502.4,50862764.64,,782589408.1,4857686956,1389078.247,1996489400,235841558.2,4553803.499,451912495,166081051.1,2090016.663,210307104.5,694444010.2,1124186.759
3054,1099993373,1109047132,3162835.661,580722708.2,105572613,195895.5224,64148454.6,21856207.23,863949.4834,143895962.8,139924106.1,,527970899.7,3786739399,1092145.443,1463819410,209985457.2,1184510.142,259999552.1,101946464.9,2036113.503,106318853.8,502103755,
3056,1080835838,460377097.1,3174765.196,619711851.9,103285784.4,,70571950.2,36454883.12,,211914870.8,89744524.31,,592986117.8,2125207516,,1350874161,274547607.7,1230825.041,326665921,127860848.5,727607.9538,121530961,357399531.8,447761.194
3059,1028979278,434120779.3,2195913.462,605185780.9,120594675,161452.3536,44562326.21,17971637.05,677501.9135,227551056,82000061.85,618589.7436,639667956.5,2796716649,313432.8358,1187228981,153726331.2,1867499.442,295518790.4,90156416.26,1633658.63,92359641.8,550616944.6,152104.063
3061,2404148385,1839140425,18435785.81,4057634053,948502194.4,9128914.323,132469008.1,72595129.92,208333.3333,541100430,94241520.52,764925.3731,1056671177,5902315367,2885572.139,4328648222,591982718.8,2982890.834,666187948.3,465624053.9,5308190.617,332075396.2,3026173882,2936559.191
3067,1697126126,1324895178,11381790.97,1370456212,234693931.1,2836538.462,72698296.16,28929203.28,289179.1045,655057613.6,112884004.2,1142197.666,727601675.4,2271270691,248397.4359,4016779439,295384009.1,5074104.637,608924275.2,194168267.3,1134356.264,414783099.7,346817996.4,1128860.904
3068,1124872381,1171013832,4281403.479,829995360.9,104892259.6,334696.7088,64600194.94,24927153.6,2064935.738,403196097.8,43172534.44,960342.5182,792685462.3,2574286435,500000,1711566834,198451871.7,2287536.676,332519954.3,112426930,582932.6923,145487684.2,527983714.8,163246.2687
3072,1181217135,1061848857,9565659.284,753341847.6,111928136.5,2835820.896,54530841.49,17670028.6,384615.3846,111388831.9,40282679.13,,664696860.5,3102966085,1408342.901,2436129157,213674909.7,2181211.331,421599809.2,136794698.8,5024526.805,151675638.1,2450622267,449913.8921
3082,781436470.6,451567025.6,3152534.603,649013593.3,102722921,947157.2426,51462893.96,23480410.89,801282.0513,86825302.79,38982748.64,,608866716.2,2215087637,914557.8199,1062283129,188694568.9,2659223.912,240250750.4,89638590.78,4130104.685,105242455.7,390878904.9,273631.8408
3086,830047408.6,639978434.1,4926569.078,683796668,88395376.72,,45884437.65,13155366,,64698091.02,7170079.371,,532219956.7,4522130278,89552.23881,1115518125,124955639.6,600459.2423,296506252.6,74813801.31,4734281.318,144121237.7,371433649,432213.9303
3089,880499337.6,660559602.9,10520141.68,662494352.8,106209000.4,3215742.202,46110574.41,9665694.843,,70825618.26,24721332.58,,586298949.6,2531464165,134328.3582,1023437833,166560822.1,1671908.885,281469480.5,76175219.02,1006416.236,133036409.5,3231374005,
3093,1836157077,1392339975,9192827.928,1839532782,513923172.2,1787427.047,128919878.5,61506601.45,,364843655.4,82163689.9,304487.1795,989638301.2,3887366997,831898.2013,2931675624,726357510.8,11992033.02,482369140.5,236340687.4,1798260.301,295125105.3,839388643.1,223880.597
4001,294918339.6,314069365.7,1865671.642,236562388.1,55272686.57,,22790130.6,9641865.672,,138164477.2,50087557.47,,473178079.8,748856295.2,223880.597,580603115.7,82425980.81,1660447.761,165555503.7,56183750,1160447.761,70320904.45,399082347,223880.597
4018,673271428.4,451894371.5,4234424.831,540746680,48247133.64,6688604.254,43632442.57,9345670.007,1478365.385,82824904.82,36070354.56,,533155848.5,1165195306,1312916.587,2322026294,145770267.4,6779533.821,254200078.9,81168522.89,4040484.676,122858350.3,520705272.5,564614.8265
4041,2114915047,1406143595,24895510.43,1917395175,365462279.2,,161670585,59992568.87,,233999207.2,127490847.1,882745.7265,1128977244,2352942150,671641.791,4078854860,394936433.3,2429483.193,635202293.8,226817446.2,2593293.548,235875487.6,804930376.2,500143.5132
4044,1190231092,851494959.4,6755754.481,730442736.7,142301066,682343.4909,51707177.67,13650246.32,688145.8094,76729578.13,93333921.46,,955592239.3,1808883449,320512.8205,1589498167,193231230.3,1405071.996,299306825.3,93784320.45,2769302.526,111990455.3,1190375090,885715.6525
4047,2721097269,1729154132,17139935.34,3823382129,1177652920,4074862.068,460224936.8,867221717.5,997396.83,917356125.8,157419160.8,4730880.852,875720854.5,6704991712,968843.6822,10751682081,742514298,25897529.58,1943406919,749309547.2,7379674.145,3053412926,788571743.8,2121444.062
4050,1453674574,1053921669,16584557.18,1243378103,307961316.2,315170.9402,74235651.07,48255428.45,,208415624.7,44835880.69,,923733815.6,1761726256,60763.88889,3212394619,302379555.2,3300335.263,389630161.9,152753695.8,3239294.314,243111781.8,1797421312,625000
4055,870313302.9,442009302.5,4087875.925,665960915.6,114139434.9,,92078284.92,47780595.12,289179.1045,67501131.7,13588245.45,,512739479.8,1376451119,447761.194,1096091478,270251050.8,1471737.865,254122908.4,94819663.5,1968293.548,102178489.3,782310984.1,
4057,570063075.4,342070598.8,2282025.37,466526735.9,49979597.78,3904914.53,37196716.96,9471789.291,856893.4175,29731466.23,9760125.933,,466337487.6,608136599.7,,822530703.4,91805653.54,4378942.627,209191949.2,30320618.24,2220976.448,130131715.1,357748585.5,
4065,760768835.7,551165686.4,4693451.811,583460508,77620207.22,4031405.473,64093569.45,22460331.81,269097.2222,81358456.56,68494651.12,199626.8657,481624324.1,1039406787,517494.6581,962007969.1,214358536,835964.4087,235609339.3,72819771.52,3150827.593,101802698.8,424385514.9,432213.9303
4087,1189102144,628766506.4,11773707.58,1178145168,772666159.4,104166.6667,60423923.27,11637536.06,223880.597,111541375.5,31345695.7,,797810438.4,2291600919,1061803.961,2680933231,196501301.9,2725722.35,369232038,73839595.71,3465208.014,112731235.5,1142273754,909644.4859
5010,2116850643,1584915821,27964231.33,3728873501,714979396.4,21366578.57,151778322.7,60983313.54,2342314.868,439027673.5,138217062.9,2414954.474,969884901,3013761024,400641.0256,4545583259,514139183.4,8775959.944,627049964.9,293406299.5,3103666.364,288925772.5,2106817605,1041188.289
5038,751206582.8,298553081.3,3843231.758,672795171.5,115961744,946900.1148,60137571.96,11044688.76,,49269640.22,31991982.79,,510722313.5,698645918.1,,1882662460,126492254.4,3662680.189,281925125.1,80416678.73,2286514.144,123041061.6,1128291883,995024.8756
5049,653276578.3,625050891.1,4435116.086,436351041.9,47736047.37,8208177.861,61587370.96,18786134.95,295138.8889,46360959.78,54145871.94,,429646919.6,1669311410,65298.50746,1422005137,144919250.6,10581182.63,265144313.6,108101594.6,2658711.65,113057615.6,737343508.5,208333.3333
5064,1191082748,980278378.8,12443224.58,731306532.6,86185783.52,598569.6517,53151911.82,18473684.7,753205.1282,158799186.9,37384210.96,,1048923539,4273786830,1322569.843,2555843898,221048240.5,3901828.996,412272878.4,84914327.14,1843327.433,184136766.2,4066530064,93283.58209
5069,911640190.3,399749118.4,3331639.08,705203258.9,92098925.68,2198841.53,69275112.76,23146319.76,399305.5556,154274171.6,91469909.09,,718178930.2,2818846938,358208.9552,1324382145,205025576,3881665.391,307737067.6,108658362.9,4155225.475,131520943.9,1634619239,373263.8889
5070,1033802164,546217536,9633594.846,686744296.2,154707570,512437.8109,36170530.96,12986608.5,,123348904.6,28364612.85,,616845450.8,2471031223,223880.597,1974847553,209259535.4,3984430.811,310031525.2,81859609.46,3916794.234,123451588,1356402485,879975.1244
5076,2025723950,1513032555,13102942.82,1638060421,222924108.6,11324242.17,98081973.55,52981425.56,,394072808.5,276853009.7,,741295789.8,4921018687,382462.6866,2246484525,302764341.2,2823341.227,494399679.5,213236324.6,2788979.781,185385531.3,1511779642,664585.7252
5081,2558498169,1655261571,18552521.85,4429689117,1127633507,24314463.34,367426295.5,652731288.5,640068.8863,1014685601,1157439909,4499693.041,1050840523,7480721846,363461.5385,8529464429,634947831.6,18589759.54,1630893745,527809505.6,10722977.66,1941934533,555764369.5,56089.74359
5088,1476398430,750316967.4,8751106.248,880481245.1,125617787.8,4041660.687,91590236.7,22517577.3,,200919422.2,68878554.5,93283.58209,753560529.3,3414723721,1473880.597,2936530182,411894866,1716993.956,437591331.5,110989516.5,3698245.551,177056697.5,992252017.6,192307.6923
5527,1793818080,1519097958,8318240.528,2556367130,571081140.5,13324495.31,99485941.87,42848974.04,576673.9221,186390354.7,57882155.11,192307.6923,1003859395,3465028147,1016025.641,4415984158,371339928,13476459.85,551537714.7,237847373.2,11307076.4,392139045.5,6140251324,1033219.32
5532,1059629385,582886818.5,4566261.242,712830042.4,133350080.7,2011086.395,75926629.31,17712190.15,1055778.798,91761049.5,19597194.86,,648723164.6,2983208425,149373.3257,1265036147,294617154.3,2960984.341,317901496,130208972.5,2440137.055,174346827.7,1151135084,1492872.178
5549,590026380.4,472169286.5,904491.9633,388994605,47742857.51,8242102.787,30212227.56,4287820.513,,30134708.87,7556346.672,,232004543.7,1190732244,1071859.692,709798802.2,68931943.63,1474358.974,132339998.5,30835710.21,1065705.128,89018527.22,1002335247,416188.2893
5552,661597042.1,630468262.5,3700621.492,536840340.1,59172270,3810737.977,46999275.66,9188309.036,489868.3665,45142282.5,11685468.75,,523436268.4,1935032242,923666.9218,2105451527,136631859.9,13577724.36,271271271.5,78573632.82,10749896.35,105365276.9,1383214276,433768.6567
5573,1072809086,678609070.1,6792801.816,833196620.2,148345168.7,3159174.082,47928482.85,7240718.005,709802.3504,63205517.86,19930423.66,,688830543.7,1737818296,4884782.817,1183381663,144027429.1,9657834.625,309096082.5,57503021.77,3609735.776,129093277.7,1818614909,1694771.336
5577,822857084.9,859851855.3,5359650.067,463258985.5,51008841.93,4134964.201,48110995.4,9124374.661,,40354766.03,34415077.36,,507645994.2,1196527662,449423.0769,1733048849,87157821.35,2137491.628,251121940,59144952.12,4330172.056,98897124.71,1055066077,1368278.798
5585,2367092310,1660565867,14238774.08,5024642881,3551916882,12594658.92,206080355.9,108867135.3,509471.8714,280638090.1,128003424.4,1105348.657,976327086.5,3514809947,3264119.546,3997405613,412419926.1,6636656.461,688699852,272241617.1,12847640.8,1134673507,2360020859,591858.4163
5594,2752871970,2061407302,6654081.356,3621722922,860444930.3,9839633.962,173259595.1,69131205.03,701779.5637,620026088.2,144758055.5,1056855.147,1473167313,8290875155,1290996.938,7878660057,557419626.1,11972289.99,1028014574,314212816.1,9364356.104,500623516.6,7409077246,1009854.573
6036,849262068.1,492115217.5,826636.0505,596570449.1,67521275.13,1201285.24,57130784.46,12020412.46,640547.2637,182623304.9,21130029.58,,511609739,2078817222,2439160.368,1561464704,154152041.9,4103704.235,349981084.4,92085024.2,2265495.439,103345576.3,765843513.4,528367.7765
6058,1199874662,906099862.4,3663680.795,644815879.4,79727245.38,486111.1111,62727392.46,19792787.39,,172726922.1,46198574.12,,571090074.1,2157034134,56089.74359,1234494779,130529463.7,3644398.201,293960316.1,68723817.43,542924.4004,135595097.2,222725118.3,447761.194
6090,1096620009,635236134,12333474.85,745440133.1,99923889.69,1996268.657,55260858.75,6418615.715,369506.6335,123722254.8,30373581.79,,483057215.2,4507979735,897435.8974,2107344329,121532671.5,2654232.842,348353538.5,111345548.7,2872675.883,145804130.4,908757813.5,996828.7569
