L2_CODE,Education and Technology_3_sum,Education and Technology_4_sum,Education and Technology_7_sum,Health_3_sum,Health_4_sum,Health_7_sum,Housing_3_sum,Housing_4_sum,Housing_7_sum,Industrial and Economic Affairs_3_sum,Industrial and Economic Affairs_4_sum,Industrial and Economic Affairs_7_sum,Local Government and Rural Development_3_sum,Local Government and Rural Development_4_sum,Local Government and Rural Development_7_sum,Public Order and Safety_3_sum,Public Order and Safety_4_sum,Public Order and Safety_7_sum,Public Services_3_sum,Public Services_4_sum,Public Services_7_sum,Social Security and Welfare_3_sum,Social Security and Welfare_4_sum,Social Security and Welfare_7_sum
1004,779683741.9,463863487,8667324.436,513909802.4,56019520.07,394631.4103,41915527.37,12312416.02,1099191.542,75563009.31,38183845.72,269097.2222,701605969.3,2500119062,493111.3662,1033030655,173937360.5,5858573.718,259902715.8,68531981.9,4583223.705,102354112.4,412376141.1,264423.0769
1006,2574468836,1729864042,24257151.74,3923479230,1260440290,10403485.38,286293663.3,146006824.1,2965823.925,579446190.9,499351586.5,2979583.254,1049631272,5081483891,281859.9311,6416077842,851650585.4,12204946.82,869780004.8,389713525.6,11556584.07,376277810.6,1240256962,4108663.414
1009,992460979.3,814604731.8,3806753.492,687089023.1,107795204.5,2926525.226,63402371.93,29248621.6,929008.8021,107610590.8,36778970.77,,1144888791,6319933192,1100483.161,1560549398,204520387.4,1327879.832,297418018.5,67635601.68,4355296.833,165163196.8,333241991.7,817307.6923
1042,785630380.1,573375870,9279418.213,556401156.3,82722444.89,923507.4627,46247925.56,16498771.57,272435.8974,126690608.4,11551536.89,930822.6496,452158776.2,1954721205,6995220.054,883957918.3,316243376.3,1205750.096,225928007.3,114847267.6,2405789.562,116532988.6,231113802,836004.2735
1078,1189853164,1028947684,6017594.32,929204403.4,145230030.3,3846622.257,111693355.1,57523892.92,311280.1378,217647182,35977349.23,,783398867.1,3263335704,353975.3157,1856140746,272571553.8,3287442.993,341592261.2,136728252.6,1875033.885,161353305.2,713925108.4,400641.0256
1079,846500775,779845426.9,905309.1912,527666808.3,71573249.28,130597.0149,43729143.29,15400471.8,,161283697.4,31259313.79,,603070979.6,3196312616,208333.3333,1241628288,169330859.3,2409945.465,296208520.3,59011524.19,2788419.68,92397110.44,206304254.5,
2003,538977677.1,460461095.9,2455032.53,510778986.4,50798769.25,2506796.945,43203490.78,10900678,,174770039.2,33826489.37,,380230846,2511017451,,3414784421,79671507.98,2242154.612,361216620.1,95819877.75,3618595.723,162341304.2,134570446.1,447761.194
2012,1369694762,826005131,2132701.477,1075745496,186066163,6978457.074,81501606.73,38923180.95,,192638674.9,58541326.08,,768665979.7,5958651988,,1837622033,361052342.4,2942293.74,389957004.3,138363507.3,455544.7921,197689661.2,1030532851,373971.4887
2013,1993836165,1550956313,3742443.631,1208258641,206439638.7,840678.4188,87533162.39,60215020.01,625000,159904885.5,94066819.73,208333.3333,810459252,3272454355,,1643131226,262151990.4,1862960.837,398667935.3,166234404.4,1230290.853,199462886.1,785740018.4,576923.0769
2015,3766553622,3439674650,10096670.1,5193629784,1665703191,1589671.833,717265357.9,3614409521,1756711.235,1605066880,552080693.8,8739481.678,1094218383,13998625277,332960.5977,16736352298,973345518.5,17179190.19,2833419823,1236258848,11695538.73,7008597762,979266366.1,1630788.366
2019,2274169894,1546393637,9820512.821,2721639408,729031345.9,6057893.625,175360098.1,57006115.54,,520914154.6,125990860.2,,1337092127,7745558167,490193.2644,5961146738,582038243.1,6395614.077,734000691.8,1321281778,924244.9611,237959162.6,678525129.9,223880.597
2022,858180749.3,518544495.9,2097903.91,786722153.8,904016258.8,3882410.862,56287304.14,26370545.67,447761.194,165114497.8,14790378.95,,557356869,1591752009,640068.8863,2823407851,111607194.7,1338380.214,378661059.6,75230100.14,3758869.913,109886968.1,215183074,416666.6667
